No.,Case,"Amicus Curiae Briefs"
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","24.    Amicus Brief, BRIEF OF AMICI CURIAE NATIONAL LATTNA/O PSYCHOLOGICAL ASSOCIATION, ASIAN-AMERICAN PSYCHOLOGICAL ASSOCIATION, ASSOCIATION OF BLACK PSYCHOLOGISTS, AND SOCIETY OF INDIAN PSYCHOLOGISTS IN SUPPORT OF RESPONDENTS, March 27, 2013, 2013 U.S. S. Ct. Briefs  1679 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","25.    Amicus Brief, BRIEF OF WISCONSIN TRIBES AS AMICI CURIAE SUPPORTING RESPONDENTS, March 28, 2013, 2013 U.S. S. Ct. Briefs  1723 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","26.    Amicus Brief, BRIEF OF 63 CALIFORNIA INDIAN TRIBES AS AMICI CURIAE IN SUPPORT OF RESPONDENTS BIRTH FATHER AND THE CHEROKEE NATION, March 26, 2013, 2013 U.S. S. Ct. Briefs  1704 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","27.    Amicus Brief, BRIEF OF AMICUS CURIAE THE NATIONAL NATIVE AMERICAN BAR ASSOCIATION SUPPORTING AFFIRMANCE, March 28, 2013, 2013 U.S. S. Ct. Briefs  1747 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","28.    Amicus Brief, BRIEF OF AMICI CURIAE MINNESOTA DEPARTMENT OF HUMAN SERVICES AND MINNESOTA OMBUDSPERSON FOR AMERICAN INDIAN FAMILIES IN SUPPORT OF RESPONDENTS BIRTH FATHER AND CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1727 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","29.    Amicus Brief, BRIEF OF AMICI CURIAE NATIONAL COUNCIL FOR ADOPTION IN SUPPORT OF PETITIONERS, February 26, 2013, 2013 U.S. S. Ct. Briefs  1015 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","30.    Amicus Brief, BRIEF OF AMICI CURIAE LOWER SIOUX INDIAN COMMUNITY, BOIS FORTE BAND OF CHIPPEWA, PRAIRIE ISLAND INDIAN COMMUNITY, FOND DU LAC BAND OF LAKE SUPERIOR CHIPPEWA, WHITE EARTH BAND OF OJIBWE, THE SHAKOPEE MDEWAKANTON SIOUX COMMUNITY, THE GRAND PORTAGE BAND OF LAKE SUPERIOR CHIPPEWA, UPPER SIOUX COMMUNITY, THE LEECH LAKE BAND OF OJIBWE, THE MILLE LACS BAND OF OJIBWE, THE RED LAKE NATION, THE MINNESOTA CHIPPEWA TRIBE, AND THE INDIAN CHILD WELFARE ACT LAW CENTER IN SUPPORT OF RESPONDENTS, March 27, 2013, 2013 U.S. S. Ct. Briefs  1712 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","31.    Amicus Brief, BRIEF OF AMICUS CURIAE AMERICAN ACADEMY OF ADOPTION ATTORNEYS IN SUPPORT OF WRIT OF CERTIORARI, October 31, 2012, 2012 U.S. S. Ct. Briefs  4574 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","32.    Amicus Brief, BRIEF OF THE CALIFORNIA STATE ASSOCIATION OF COUNTIES AND THE COUNTY WELFARE DIRECTORS ASSOCIATION OF CALIFORNIA AS AMICI CURIAE IN SUPPORT OF PETITIONERS, October 31, 2012, 2012 U.S. S. Ct. Briefs  4670 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","33.    Amicus Brief, BRIEF OF 63 CALIFORNIA INDIAN TRIBES AS AMICI CURIAE IN SUPPORT OF RESPONDENTS BIRTH FATHER AND THE CHEROKEE NATION, March 26, 2013, 2013 U.S. S. Ct. Briefs  1680 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","34.    Amicus Brief, BRIEF FOR THE SEMINOLE NATION OF OKLAHOMA AS AMICUS CURIAE IN SUPPORT OF THE RESPONDENTS, BIRTH FATHER AND THE CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1684 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","35.    Amicus Brief, BRIEF FOR AMICI CURIAE ADULT PRE-ICWA INDIAN ADOPTEES SUPPORTING BIRTH FATHER AND THE CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1687 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","36.    Amicus Brief, BRIEF OF FAMILY LAW PROFESSORS AS AMICI CURIAE IN SUPPORT OF RESPONDENTS BIRTH FATHER AND CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1724 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","37.    Amicus Brief, BRIEF OF AMICUS CURIAE SEMINOLE TRIBE OF FLORIDA, ET AL., IN SUPPORT OF RESPONDENTS, March 27, 2013, 2013 U.S. S. Ct. Briefs  1705 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","38.    Amicus Brief, BRIEF FOR THE SEMINOLE NATION OF OKLAHOMA AS AMICUS CURIAE IN SUPPORT OF THE RESPONDENTS, BIRTH FATHER AND THE CHEROKEE NATION, March 28, 2013, 2013 U.S. S. Ct. Briefs  1708 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","39.    Amicus Brief, BRIEF OF AMICA CURIAE BIRTH MOTHER IN SUPPORT OF PETITIONERS AND BABY GIRL, February 26, 2013, 2013 U.S. S. Ct. Briefs  1016 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","40.    Amicus Brief, BRIEF OF THE HONORABLE ABBY ABINANTI, CHIEF JUSTICE OF THE YUROK TRIBAL COURT AS AMICA CURIAE IN SUPPORT OF RESPONDENT BIRTH FATHER AND RESPONDENT CHEROKEE NATION, March 26, 2013, 2013 U.S. S. Ct. Briefs  1713 "
3,"Adoptive Couple v. Baby Girl, 133 S.Ct. 2552 (2013)","41.    Amicus Brief, BRIEF FOR THE AMERICAN ACADEMY OF ADOPTION ATTORNEYS AS AMICUS CURIAE IN SUPPORT OF PETITIONERS, February 21, 2013, 2013 U.S. S. Ct. Briefs  1000 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","1.    Brief, BRIEF OF AMICI CURIAE ROBERT C. JUBELIRER AND MATTHEW J. RYAN IN SUPPORT OF PETITIONER, November 13, 2000, 2000 U.S. S. Ct. Briefs  608 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","2.    Brief, BRIEF OF AMICUS CURIAE EAGLE FORUM EDUCATION & LEGAL DEFENSE FUND IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  610 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","3.    Brief, BRIEF OF WASHINGTON LEGAL FOUNDATION, ALLIED EDUCATIONAL FOUNDATION, MANUFACTURERS ALLIANCE, AND U.S. REPS. ROBERT ADERHOLT, SPENCER BACHUS, SONNY CALLAHAN, TERRY EVERETT, AND BOB RILEY AS AMICI CURIAE IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  612 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","4.    Brief, BRIEF OF NAACP LEGAL DEFENSE & EDUCATIONAL FUND, INC., PUERTO RICAN LEGAL DEFENSE AND EDUCATION FUND, LAWYERS' COMMITTEE FOR CIVIL RIGHTS UNDER LAW, ASIAN AMERICAN LEGAL DEFENSE AND EDUCATION FUND, NATIONAL HEALTH LAW PROGRAM, CENTER FOR CONSTITUTIONAL RIGHTS, CENTER FOR LAW IN THE PUBLIC INTEREST AS AMICI CURIAE IN SUPPORT OF RESPONDENTS, December 13, 2000, 2000 U.S. S. Ct. Briefs  720 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","5.    Brief, BRIEF FOR U.S. ENGLISH AS AMICUS CURIAE IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  616 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","6.    Brief, BRIEF FOR AMICUS CURIAE NATIONAL COLLEGIATE ATHLETIC ASSOCIATION IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  615 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","7.    Brief, BRIEF OF CENTER ON RACE, POVERTY AND THE ENVIRONMENT, NLG/MAURICE AND JANE SUGAR LAW CENTER FOR SOCIAL AND ECONOMIC JUSTICE, FLINT GENESEE UNITED FOR ACTION, JUSTICE AND ENVIRONMENTAL SAFETY, RESIDENTS OF SANBORN COURT, NEW YORK LAWYERS FOR THE PUBLIC INTEREST, INSTITUTE FOR PUBLIC REPRESENTATION, MEXICAN-AMERICAN LEGAL DEFENSE AND EDUCATIONAL FUND, AND COMMUNITIES FOR A BETTER ENVIRONMENT AS AMICI CURIAE IN SUPPORT OF RESPONDENT, December 13, 2000, 2000 U.S. S. Ct. Briefs  752 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","8.    Brief, BRIEF FOR BEAUTY ENTERPRISES, INC., AS AMICUS CURIAE IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  613 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","9.    Brief, BRIEF FOR NATIONAL WOMEN'S LAW CENTER, AMERICAN ASSOCIATION OF UNIVERSITY WOMEN, AMERICAN JEWISH COMMITTEE, et al., AS AMICI CURIAE IN SUPPORT OF RESPONDENTS (Additional Amici Listed Inside), December 13, 2000, 2000 U.S. S. Ct. Briefs  719 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","10.    Brief, BRIEF OF AMICUS CURIAE NATIONAL ASSOCIATION OF MANUFACTURERS IN SUPPORT OF PETITIONERS, November 13, 2000, 2000 U.S. S. Ct. Briefs  611 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","11.    Brief, BRIEF OF PRO-ENGLISH, ENGLISH FIRST FOUNDATION, CENTER FOR AMERICAN UNITY, AND UNITED STATES REPRESENTATIVES TOM TANCREDO, SPENCER BACHUS, BOB BARR, JOHN DOOLITTLE, BOB GOODLATTE, ERNEST ISTOOK, JOE KNOLLENBERG, WILLIAM LIPINSKI, CHARLIE NORWOOD, RON PAUL, BOB RILEY, DANA ROHRABACHER, NICK SMITH AND BOB STUMP AS AMICI CURIAE IN SUPPORT OF PETITIONERS, November 9, 2000, 2000 U.S. S. Ct. Briefs  609 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","12.    Brief, BRIEF AMICUS CURIAE OF PACIFIC LEGAL FOUNDATION AND CENTER FOR EQUAL OPPORTUNITY IN SUPPORT OF PETITIONER, November 13, 2000, 2000 U.S. S. Ct. Briefs  614 "
4,"Alexander v. Sandoval, 532 U.S. 275 (2001)","13.    Amicus Brief, BRIEF OF WASHINGTON LEGAL FOUNDATION AND ALLIED EDUCATIONAL FOUNDATION AS AMICI CURIAE IN SUPPORT OF PETITIONERS, July 31, 2000, 2000 U.S. S. Ct. Briefs  1135 "
